timestamp,rss,heapUsed,heapTotal
1774242192363,183631872,10504626,10863616
1774242222360,184401920,10633539,10810368
1774242252356,184991744,15960881,10896384
1774242282356,191873024,49043171,11061248
1774242312357,193724416,28339046,10870784
1774242342358,193691648,10539221,10809344
1774242372359,193675264,19836455,10825728
1774242402360,193691648,15933362,10792960
1774242432361,193675264,16983026,10792960
1774242462362,193839104,10147422,10797056
1774242492364,194904064,12197291,10881024
1774242522365,194658304,32160230,10908672
1774242552367,194772992,22873417,10800128
1774242582369,194789376,11450396,10846208
1774242612371,194691072,11794138,10795008
1774242642374,194691072,12299354,10776576
1774242672377,194691072,44080893,10801152
1774242702378,194838528,24213573,10803200
1774242732379,194691072,9075233,10777600
1774242762379,194789376,11909942,10777600
1774242792380,194789376,42378100,10791936
1774242822382,194789376,17329731,10783744
1774242852384,194920448,12448159,10777600
1774242882386,194838528,14405314,10876928
1774242912388,194838528,13638589,10760192
1774242942391,194854912,17341193,10778624
1774242972392,194904064,14676331,10835968
1774243002394,194854912,11599729,10795008
1774243032395,194904064,43839092,10817536
1774243062397,194936832,9114562,10777600
1774243092399,194887680,11421622,10778624
1774243122401,194887680,12315657,10760192
1774243152405,194887680,11265151,10760192
1774243182404,194887680,9952357,10760192
1774243212402,194904064,19970386,10782720
1774243242403,194904064,21028610,10814464
1774243272404,194904064,22947109,10854400
1774243302405,194904064,10749374,10760192
1774243332407,194953216,44468548,10781696
1774243362409,195002368,15361553,10851328
1774243392411,194985984,8180307,10776576
1774243422412,194985984,9932616,10776576
1774243452414,195002368,10843476,10792960
1774243482416,195002368,12786940,10865664
1774243512421,195002368,43780085,10916864
1774243542423,195002368,19184862,10792960
1774243572424,195002368,18875088,10799104
1774243602427,195002368,11279024,10777600
1774243632429,195002368,9746641,10760192
1774243662429,195051520,27169692,10780672
1774243692429,195051520,29317738,10852352
1774243722431,195002368,18140226,10779648
1774243752432,195297280,11211613,10777600
1774243782434,195248128,11501627,10829824
1774243812436,195248128,13347539,10850304
1774243842438,195248128,12385007,10777600
1774243872439,195248128,34196729,10784768
1774243902439,195248128,22057007,10796032
1774243932441,195248128,8663214,10777600
1774243962442,195248128,33401691,10778624
1774243992446,195297280,36778295,10813440
1774244000293,195346432,7659990,10816512
